"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"279";"180070013";"18007001300115";"72.19Z";"22";"INSTITUT NATIONAL DE RECHERCHE EN SCIENCES ET TECHNOLOGIES POUR L'ENVIRONNEMENT ET L'AGRICULTURE";"ETI";"RUE";"JEAN FRANCOIS BRETON";"34090";"MONTPELLIER"
"280";"180070039";"18007003900110";"72.19Z";"32";"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT";"GE";"RTE";"DE ST CYR";"78000";"VERSAILLES"
"281";"180070039";"18007003900557";"72.19Z";"31";"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT";"GE";"";"LA GERAUDIERE";"44300";"NANTES"
"282";"180070039";"18007003900680";"72.19Z";"32";"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT";"GE";"RUE";"SULLY";"21000";"DIJON"
"283";"180070039";"18007003901027";"72.19Z";"41";"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT";"GE";"PL";"PIERRE VIALA";"34000";"MONTPELLIER"
"284";"180070039";"18007003901803";"72.19Z";"32";"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT";"GE";"RUE";"DE L'UNIVERSITE";"75007";"PARIS 7"
"285";"180070039";"18007003901944";"72.19Z";"11";"INSTITUT NATIONAL DE RECHERCHE POUR L'AGRICULTURE L'ALIMENTATION ET L'ENVIRONNEMENT";"GE";"";"GROSSETTI";"20250";"CORTE"
"286";"180073017";"18007301700014";"84.13Z";"12";"OFFICE NATIONAL DE LA CHASSE ET DE LA FAUNE SAUVAGE";"ETI";"AV";"DE WAGRAM";"75017";"PARIS 17"
"287";"180089013";"18008901300023";"72.19Z";"42";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"DU LOESS";"67200";"STRASBOURG"
"288";"180089013";"18008901300155";"72.19Z";"42";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"PL";"ARISTIDE BRIAND";"92190";"MEUDON"
"289";"180089013";"18008901300320";"72.19Z";"NN";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"PAUL BERT";"94200";"IVRY-SUR-SEINE"
"290";"180089013";"18008901300395";"72.19Z";"42";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RTE";"DE MENDE";"34090";"MONTPELLIER"
"291";"180089013";"18008901300635";"72.19Z";"51";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"AV";"DE LA TERRASSE";"91190";"GIF-SUR-YVETTE"
"292";"180089013";"18008901300668";"72.19Z";"51";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"AV";"ALBERT EINSTEIN";"69100";"VILLEURBANNE"
"293";"180089013";"18008901301633";"72.19Z";"NN";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"ALL";"ANTONIO MACHADO";"31100";"TOULOUSE"
"294";"180089013";"18008901301682";"72.19Z";"41";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"ALBERT EINSTEIN";"06560";"VALBONNE"
"295";"180089013";"18008901301724";"72.19Z";"51";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"CHE";"JOSEPH AIGUIER";"13009";"MARSEILLE 9"
"296";"180089013";"18008901302458";"72.19Z";"42";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"ESP";"DES ARTS ET METIERS";"33400";"TALENCE"
"297";"180089013";"18008901303282";"72.19Z";"51";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"PIERRE ET MARIE CURIE";"75005";"PARIS 5"
"298";"180089013";"18008901303720";"72.19Z";"42";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"MICHEL ANGE";"75016";"PARIS 16"
"299";"180089013";"18008901303878";"72.19Z";"NN";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"AV";"EDOUARD BELIN";"31400";"TOULOUSE"
"300";"180089013";"18008901304033";"72.19Z";"0";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"MICHEL ANGE";"75016";"PARIS 16"
"301";"180089013";"18008901306582";"72.19Z";"0";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"DE LA DOUA";"69100";"VILLEURBANNE"
"302";"180089013";"18008901306657";"72.19Z";"41";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"ANDRE ET YVONNE MEYNIER";"35000";"RENNES"
"303";"180089013";"18008901308232";"72.19Z";"0";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RUE";"DE LA CARDONILLE";"34090";"MONTPELLIER"
"304";"180089013";"18008901309065";"72.19Z";"0";"CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE";"GE";"RTE";"DE MENDE";"34090";"MONTPELLIER"
"305";"180090029";"18009002900042";"91.03Z";"03";"MUSEE NATIONAL DE LA MARINE";"PME";"PL";"ING GEN MONSENERGUE";"83000";"TOULON"
"306";"180090029";"18009002900067";"91.03Z";"03";"MUSEE NATIONAL DE LA MARINE";"PME";"PL";"DE LA GALISSONNIERE";"17300";"ROCHEFORT"
"307";"180092199";"18009219900017";"85.42Z";"51";"ECOLE NATIONALE D'ADMINISTRATION PENITENTIAIRE";"ETI";"AV";"MICHEL SERRES";"47000";"AGEN"
"308";"180092231";"18009223100018";"59.11B";"22";"ETABLISSEMENT DE COMMUNICATION ET DE PRODUCTION AUDIOVISUELLE DE LA DEFENSE";"PME";"RTE";"DU FORT";"94200";"IVRY-SUR-SEINE"
"309";"180092264";"18009226400019";"72.20Z";"NN";"INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES";"ETI";"RUE";"DE MADRID";"75008";"PARIS 8"
"310";"180092264";"18009226400050";"72.20Z";"NN";"INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES";"ETI";"RUE";"DELIZY";"93500";"PANTIN"
"311";"180092264";"18009226400068";"72.20Z";"32";"INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES";"ETI";"RUE";"DU BIGNON";"35510";"CESSON-SEVIGNE"
"312";"180092264";"18009226400084";"72.20Z";"22";"INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES";"ETI";"RUE";"LOUIS MAGGIORINI";"69500";"BRON"
"313";"180092264";"18009226400092";"72.20Z";"31";"INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES";"ETI";"RUE";"DE MERIC";"57050";"METZ"
"314";"180092264";"18009226400118";"72.20Z";"31";"INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES";"ETI";"RUE";"ETIENNE LENOIR";"30900";"NIMES"
"315";"180092264";"18009226400126";"72.20Z";"NN";"INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES";"ETI";"CRS";"VICTOR HUGO";"33130";"BEGLES"
"316";"180092264";"18009226400191";"72.20Z";"32";"INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES";"ETI";"AV";"DU MARECHAL LECLERC";"33130";"BEGLES"
"317";"180092389";"18009238900014";"85.42Z";"21";"ECOLE NATIONALE SUPERIEURE D'ART DE BOURGES";"PME";"RUE";"EDOUARD BRANLY";"18000";"BOURGES"
"318";"180092447";"18009244700010";"91.03Z";"41";"ETABLISSEMENT PUBLIC DU MUSEE D'ORSAY ET DU MUSEE DE L'ORANGERIE";"ETI";"RUE";"DE LILLE";"75007";"PARIS 7"
"319";"180092538";"18009253800016";"84.30C";"11";"AGENCE NATIONALE POUR LA GARANTIE DES DROITS DES MINEURS";"ETI";"AV";"LEDRU ROLLIN";"75011";"PARIS 11"
"320";"180730012";"18073001200069";"94.11Z";"NN";"CCI DE L'ARDECHE MERIDIONALE";"PME";"";"LA TEMPLE";"07200";"AUBENAS"
"321";"180900334";"18090033400038";"84.13Z";"11";"GIP MISSION LOCALE JEUNE ARIEGE";"PME";"RUE";"DE L ESPINET";"09000";"FOIX"
"322";"181300013";"18130001300081";"94.11Z";"22";"CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PROVENCE-ALPES-COTE D AZUR";"ETI";"BD";"CARABACEL";"06000";"NICE"
"323";"181300088";"18130008800216";"88.99B";"11";"CENTRE REGIONAL OEUVRES UNIV SCOLAIRES";"ETI";"AV";"BENJAMIN ABRAM";"13100";"AIX-EN-PROVENCE"
"324";"181337148";"18133714800017";"84.12Z";"11";"GIP CICRP BELLE DE MAI";"PME";"RUE";"GUIBAL";"13003";"MARSEILLE 3"
"325";"181800038";"18180003800026";"94.11Z";"21";"CHAMBRE D'AGRICULTURE DU CHER";"PME";"RTE";"D'ORLEANS";"18230";"SAINT-DOULCHARD"
"326";"183000017";"18300001700016";"94.11Z";"22";"CHAMBRE DE METIERS ET DE L'ARTISANAT";"PME";"AV";"DU MARECHAL JUIN";"30000";"NIMES"
"327";"183300052";"18330005200036";"94.11Z";"22";"CHAMBRE D'AGRICULTURE DE LA GIRONDE";"PME";"CRS";"XAVIER ARNOZAN";"33000";"BORDEAUX"
"328";"183400001";"18340000100016";"84.12Z";"NN";"CTRE REG DE DOCUMENTATION PEDAGOGIQUE";"";"ALL";"DE LA CITADELLE";"34000";"MONTPELLIER"
"329";"183400019";"18340001900463";"94.11Z";"00";"CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION LANGUEDOC-ROUSSILLON";"PME";"IMP";"ADAM SMITH";"34470";"PEROLS"
"330";"183400027";"18340002700037";"94.11Z";"NN";"CHAMBRE REG AGRICULTURE LANGUEDOC-ROUSSILLON";"";"";"MAS DE SAPORTA";"34970";"LATTES"
"331";"183400035";"18340003500030";"94.11Z";"21";"CHAMBRE D AGRICULTURE DE L HERAULT";"PME";"";"MAS DE SAPORTA";"34970";"LATTES"
"332";"183400050";"18340005000039";"94.11Z";"NN";"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE SETE";"";"AV";"DU MAL JUIN";"34200";"SETE"
"333";"183400068";"18340006800015";"94.11Z";"NN";"CHAMBRE DE COMMERCE ET D'INDUSTRIE DE MONTPELLIER";"";"GR";"JEAN MOULIN";"34000";"MONTPELLIER"
"334";"183400076";"18340007600018";"94.11Z";"00";"CHAMB COMME ET INDUS BEZIERS-SAINT-PONS";"";"ALL";"PAUL RIQUET";"34500";"BEZIERS"
"335";"183400084";"18340008400012";"88.99B";"21";"CENTRE REGIONAL OEUVRES UNIV SCOLAIRES";"ETI";"RUE";"MONTEIL";"34090";"MONTPELLIER"
"336";"183400084";"18340008400657";"88.99B";"NN";"CENTRE REGIONAL OEUVRES UNIV SCOLAIRES";"ETI";"RUE";"DE L ECOLE DE PHARMACIE";"34000";"MONTPELLIER"
"337";"183400084";"18340008400723";"88.99B";"0";"CENTRE REGIONAL OEUVRES UNIV SCOLAIRES";"ETI";"RUE";"DE LA CHENAIE";"34090";"MONTPELLIER"
"338";"183400134";"18340013400023";"94.11Z";"00";"CHAMBRE REG DE METIERS ET DE L'ARTISANAT LANGUEDOC ROUSSILLON";"";"AV";"CLEMENT ADER";"34170";"CASTELNAU-LE-LEZ"
"339";"183400167";"18340016700015";"84.13Z";"00";"ATELIER TECHNIQUE DES ESPACES NATURELS";"PME";"PL";"PIERRE VIALA";"34000";"MONTPELLIER"
"340";"183400191";"18340019100023";"85.59A";"12";"GIP FORMAVIE";"PME";"RUE";"ALFRED NOBEL";"34000";"MONTPELLIER"
"341";"184503019";"18450301900012";"84.13Z";"31";"AGENCE DE L'EAU LOIRE-BRETAGNE";"ETI";"AV";"BUFFON";"45100";"ORLEANS"
"342";"184800019";"18480001900020";"94.11Z";"21";"CHAMBRE D AGRICULTURE DE LA LOZERE";"PME";"AV";"MARECHAL FOCH";"48000";"MENDE"
"343";"184800050";"18480005000017";"91.04Z";"21";"PARC NATIONAL DES CEVENNES";"PME";"";"CHATEAU";"48400";"FLORAC TROIS RIVIERES"
"344";"185600053";"18560005300010";"94.11Z";"00";"CHAMBRE COMMERCE ET INDUSTRIE MORBIHAN";"PME";"QUAI";"DES INDES";"56100";"LORIENT"
"345";"185907508";"18590750800260";"94.11Z";"00";"CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION NORD DE FRANCE";"PME";"BD";"DE LEEDS";"59777";"LILLE"
"346";"185921616";"18592161600040";"85.59A";"41";"FCIP EDUCATION ET FORMATION TOUT AU LONG DE LA VIE";"PME";"RUE";"DE THIONVILLE";"59800";"LILLE"
"347";"186500021";"18650002100016";"94.11Z";"00";"CHAMBRE DEPARTEMENTALE D'AGRICULTURE";"PME";"PL";"DU FOIRAIL";"65000";"TARBES"
"348";"186500047";"18650004700110";"91.04Z";"21";"PARC NATIONAL DES PYRENEES";"PME";"RUE";"DU QUATRE SEPTEMBRE";"65000";"TARBES"
"349";"186600037";"18660003700011";"94.11Z";"21";"CHAMBRE AGRICULTURE PYRENEES ORIENTALES";"PME";"AV";"DE LA GRANDE BRETAGNE";"66000";"PERPIGNAN"
"350";"186901559";"18690155900101";"84.13Z";"12";"AGENCE EAU RHONE MEDITERRANEE ET CORSE";"ETI";"";"LA CANEBIERE";"13001";"MARSEILLE 1"
"351";"187300033";"18730003300011";"91.04Z";"21";"PARC NATIONAL DE LA VANOISE";"PME";"RUE";"DOC JULLIAND";"73000";"CHAMBERY"
"352";"188100051";"18810005100054";"94.11Z";"22";"CHAMBRE DE METIERS ET DE L'ARTISANAT";"PME";"RTE";"DES TEMPLIERS";"81990";"CUNAC"
"353";"188400022";"18840002200029";"94.11Z";"21";"CHAMBRE DEP D AGRICULTURE DU VAUCLUSE";"PME";"RTE";"DE MARSEILLE";"84140";"AVIGNON"
"354";"188437016";"18843701600036";"85.32Z";"0";"GIP ETS SANTE AVIGNON ET PAYS VAUCLUSE";"PME";"CHE";"DES MEINAJARIES";"84140";"AVIGNON"
"355";"189209117";"18920911700028";"71.11Z";"00";"EUROPE DES PROJETS ARCHITECTURAUX ET URBAINS";"PME";"AV";"PRESIDENT WILSON";"75116";"PARIS 16"
"356";"189710080";"18971008000020";"91.04Z";"21";"PARC NATIONAL DE LA GUADELOUPE";"PME";"";"MONTERAN";"97120";"SAINT-CLAUDE"
"357";"189733025";"18973302500069";"94.11Z";"21";"CHAMBRE COMMERCE ET INDUSTRIE LA GUYANE";"ETI";"PL";"DE L ESPLANADE";"97300";"CAYENNE"
"358";"189742117";"18974211700014";"94.11Z";"21";"CHAMBRE DE COMMERCE ET D'INDUSTRIE";"ETI";"RUE";"DE PARIS";"97400";"SAINT-DENIS"
"359";"190108027";"19010802700011";"85.31Z";"22";"COLLEGE AMPERE";"PME";"RUE";"DE LA FORGE";"01100";"OYONNAX"
"360";"190200113";"19020011300016";"85.31Z";"21";"COLLEGE FRANCOIS TRUFFAUT";"PME";"RUE";"PAUL HIVET";"02310";"CHARLY-SUR-MARNE"
"361";"190214924";"19021492400010";"85.31Z";"21";"COLLEGE GERARD PHILIPE";"PME";"BD";"DE PRESLES";"02200";"SOISSONS"
"362";"190300616";"19030061600033";"85.32Z";"12";"LYCEE PROFESSIONNEL ALBERT LONDRES";"PME";"BD";"DU 8 MAI 1945";"03300";"CUSSET"
"363";"190400523";"19040052300014";"85.31Z";"21";"COLLEGE REYMOND CAMILLE";"PME";"";"LA BASTIDE NEUVE";"04160";"CHATEAU-ARNOUX-SAINT-AUBAN"
"364";"190600056";"19060005600013";"85.31Z";"22";"LYCEE GEN TECHNOLOGIQUE A TOCQUEVILLE";"PME";"CHE";"DE L ORME";"06130";"GRASSE"
"365";"190600841";"19060084100018";"85.31Z";"21";"COLLEGE JEAN GIONO";"PME";"RUE";"HUMBERT RICOLFI";"06300";"NICE"
"366";"190608364";"19060836400013";"85.42Z";"21";"EPA VILLA ARSON";"PME";"AV";"STEPHEN LIEGEARD";"06100";"NICE"
"367";"190700039";"19070003900018";"85.31Z";"22";"LYCEE POLYVALENT MARCEL GIMOND";"PME";"BD";"DE L EUROPE";"07200";"AUBENAS"
"368";"190700179";"19070017900012";"85.31Z";"12";"COLLEGE LA SEGALIERE";"PME";"RTE";"DE TAURIERS";"07110";"LARGENTIERE"
"369";"190700211";"19070021100013";"85.31Z";"22";"LYCEE POLYVALENT VINCENT D'INDY";"PME";"BD";"DU LYCEE";"07000";"PRIVAS"
"370";"190708487";"19070848700011";"85.31Z";"22";"COLLEGE MARIE CURIE";"PME";"PL";"CARNOT";"07300";"TOURNON-SUR-RHONE"
"371";"190713511";"19071351100011";"85.31Z";"21";"LYCEE POLYVALENT XAVIER MALLET";"PME";"RUE";"FREDERIC MISTRAL";"07400";"LE TEIL"
"372";"191010602";"19101060200032";"85.42Z";"32";"UNIVERSITE DE TECHNOLOGIE DE TROYES";"ETI";"RUE";"MARIE CURIE";"10000";"TROYES"
"373";"191100072";"19110007200013";"85.31Z";"32";"LYCEE POLYVALENT JULES FIL";"ETI";"BD";"I ET F JOLIOT CURIE";"11000";"CARCASSONNE"
"374";"191100197";"19110019700018";"85.31Z";"21";"LYCEE POLYVALENT JACQUES RUFFIE";"PME";"ESP";"FRANCOIS MITTERRAND";"11300";"LIMOUX"
"375";"191100221";"19110022100016";"85.31Z";"22";"LYCEE GENERAL TECHNO DR LACROIX";"PME";"RUE";"GAY LUSSAC";"11100";"NARBONNE"
"376";"191100239";"19110023900018";"85.31Z";"41";"LYCEE POLYVALENT LOUISE MICHEL";"ETI";"RUE";"JEAN MOULIN";"11100";"NARBONNE"
"377";"191100239";"19110023900026";"85.31Z";"22";"LYCEE POLYVALENT LOUISE MICHEL";"ETI";"RUE";"JEAN MOULIN";"11100";"NARBONNE"
"378";"191100254";"19110025400017";"85.31Z";"12";"COLLEGE CITE";"PME";"PL";"THERESE LEON BLUM";"11100";"NARBONNE"
"379";"191100262";"19110026200010";"85.31Z";"21";"COLLEGE JULES FERRY";"PME";"RUE";"VAUBAN";"11100";"NARBONNE"
"380";"191100346";"19110034600011";"85.32Z";"NN";"LYCEE PROFESSIONNEL GUSTAVE EIFFEL";"";"RUE";"JEAN MOULIN";"11100";"NARBONNE"
"381";"191100379";"19110037900012";"85.31Z";"21";"COLLEGE EMILE ALAIN";"PME";"RUE";"EMILE ALAIN";"11000";"CARCASSONNE"
"382";"191100684";"19110068400015";"85.31Z";"21";"COLLEGE GEORGES BRASSENS";"PME";"RUE";"DE L'ALZEAU";"11100";"NARBONNE"
"383";"191106723";"19110672300015";"85.31Z";"21";"COLLEGE JULES VERNE";"PME";"BD";"I ET F JOLIOT CURIE";"11000";"CARCASSONNE"
"384";"191106756";"19110675600015";"85.31Z";"12";"COLLEGE MICHEL BOUSQUIE";"PME";"ALL";"GEORGES POMPIDOU";"11500";"QUILLAN"
"385";"191107218";"19110721800015";"85.31Z";"12";"COLLEGE ANTOINE COURRIERE";"PME";"";"BERTRANDE";"11390";"CUXAC-CABARDES"
"386";"191107887";"19110788700017";"85.31Z";"21";"COLLEGE MONTESQUIEU";"PME";"AV";"MONTESQUIEU";"11100";"NARBONNE"
"387";"191108596";"19110859600013";"85.31Z";"21";"COLLEGE JOSEPH DELTEIL";"PME";"RUE";"DES ETUDES";"11300";"LIMOUX"
"388";"191200120";"19120012000019";"85.31Z";"21";"LYCEE GENERAL ET TECHNOLOGIQUE JEAN VIGO";"PME";"BD";"DU PUITS DE CALES";"12100";"MILLAU"
"389";"191200187";"19120018700018";"85.31Z";"12";"COLLEGE JEAN AMANS";"PME";"";"LA COSTE VIEILLE";"12290";"PONT-DE-SALARS"
"390";"191200245";"19120024500022";"85.31Z";"31";"LYCEE GENERAL ET TECHNOLOGIQUE ALEXIS MONTEIL";"PME";"AV";"DU MARECHAL JOFFRE";"12000";"RODEZ"
"391";"191200252";"19120025200010";"85.31Z";"21";"LYCEE POLYVALENT JEAN JAURES";"PME";"AV";"JEAN JAURES";"12400";"SAINT-AFFRIQUE"
"392";"191201011";"19120101100019";"85.31Z";"22";"COLLEGE JOSEPH FABRE";"PME";"BD";"BELLE ISLE";"12000";"RODEZ"
"393";"191300102";"19130010200016";"85.31Z";"21";"LYCEE POLYVALENT MONTMAJOUR";"PME";"CHE";"DES MOINES";"13200";"ARLES"
"394";"191300110";"19130011000019";"85.31Z";"22";"LYCEE GENERAL ET TECHNOLOGIQUE LOUIS PASQUET";"PME";"BD";"MARCELLIN BERTHELOT";"13200";"ARLES"
"395";"191300714";"19130071400018";"85.32Z";"22";"LYCEE PROFESSIONNEL COLBERT";"PME";"RUE";"CAPITAINE DESSEMOND";"13007";"MARSEILLE 7"
"396";"191301647";"19130164700019";"85.31Z";"21";"LYCEE GENERAL ET TECHNOL ALPHONSE DAUDET";"PME";"BD";"JULES FERRY";"13150";"TARASCON"
"397";"191301712";"19130171200011";"85.32Z";"21";"LYCEE PROFESSIONNEL PRIVAT CHARLES";"PME";"RUE";"LUCIEN GUINTOLI";"13200";"ARLES"
"398";"191316033";"19131603300015";"85.31Z";"21";"COLLEGE MONTICELLI ADOLPHE";"PME";"BD";"PERIER";"13008";"MARSEILLE 8"
"399";"191316082";"19131608200012";"85.31Z";"21";"COLLEGE EMILIE DE MIRABEAU";"PME";"AV";"DES COMBATTANTS AFN 52 62";"13700";"MARIGNANE"
"400";"191316090";"19131609000023";"85.31Z";"21";"COLLEGE MISTRAL FREDERIC";"PME";"ESP";"DE LA LAICITE";"13104";"ARLES"
"401";"191316116";"19131611600018";"85.31Z";"21";"COLLEGE RENE CASSIN";"PME";"AV";"PROSPER MERIMEE";"13150";"TARASCON"
"402";"191317460";"19131746000019";"85.31Z";"21";"COLLEGE MOREL ROBERT";"PME";"RUE";"ROBERT MARTIN";"13200";"ARLES"
"403";"191318849";"19131884900012";"85.31Z";"21";"COLLEGE BELLE DE MAI";"PME";"RUE";"DOCTEUR LEON PERRIN";"13003";"MARSEILLE 3"
"404";"191323187";"19132318700010";"85.31Z";"21";"COLLEGE COUTAREL ELIE";"PME";"RUE";"DES CANADELS";"13800";"ISTRES"
"405";"191323260";"19132326000015";"85.31Z";"21";"COLLEGE CAMUS ALBERT";"PME";"BD";"GUY DE MAUPASSANT";"13140";"MIRAMAS"
"406";"191324912";"19132491200010";"85.31Z";"21";"COLLEGE ALEXANDRE DUMAS";"PME";"TRA";"DE GIBRALTAR";"13014";"MARSEILLE 14"
"407";"191324953";"19132495300014";"85.31Z";"22";"LYCEE POLYVALENT RIMBAUD ARTHUR";"PME";"QUA";"DES SALLES";"13800";"ISTRES"
"408";"191327865";"19132786500017";"85.31Z";"21";"COLLEGE LES MATAGOTS";"PME";"AV";"EMILE SELLON";"13600";"LA CIOTAT"
"409";"191328343";"19132834300014";"85.31Z";"22";"COLLEGE RIEU CHARLOUN";"PME";"RUE";"DES GALOUBETS";"13310";"SAINT-MARTIN-DE-CRAU"
"410";"191329747";"19132974700015";"85.32Z";"22";"LYCEE POLYVALENT HOTELIER REGIONAL";"PME";"AV";"ANDRE ZENATTI";"13008";"MARSEILLE 8"
"411";"191333376";"19133337600017";"85.31Z";"21";"COLLEGE FRANCOISE DOLTO";"PME";"QUA";"DE LA CRAU";"13670";"SAINT-ANDIOL"
"412";"191400522";"19140052200014";"85.31Z";"21";"LPO GUILLAUME LE CONQUERANT";"PME";"RUE";"SAINT JEAN";"14700";"FALAISE"
"413";"191414085";"19141408500016";"85.42Z";"41";"UNIVERSITE DE CAEN NORMANDIE";"ETI";"";"ESPLANADE DE LA PAIX";"14000";"CAEN"
"414";"191417641";"19141764100013";"85.31Z";"21";"COLLEGE DES DOUITS";"PME";"RUE";"DU CHEVAL NOIR";"14700";"FALAISE"
"415";"192020212";"19202021200010";"85.31Z";"21";"LYCEE PASCAL PAOLI";"PME";"AV";"DU PRESIDENT PIERUCCI";"20250";"CORTE"
"416";"192112373";"19211237300019";"85.42Z";"32";"UNIVERSITE DIJON BOURGOGNE";"ETI";"";"CAMPUS ESPLANADE ERASME";"21000";"DIJON"
"417";"192512150";"19251215000363";"85.42Z";"22";"UNIVERSITE DE BESANCON";"ETI";"RUE";"CLAUDE GOUDIMEL";"25000";"BESANCON"
"418";"192600021";"19260002100013";"85.31Z";"12";"COLLEGE HENRI BARBUSSE";"PME";"AV";"HENRI BARBUSSE";"26170";"BUIS-LES-BARONNIES"
"419";"192607919";"19260791900029";"85.32Z";"12";"ETABLISSEMENT PUBLIC LOCAL D'ENSEIGNEMENT ET DE FORMATION PROFESSIONNELLE AGRICOLES TERRE D'HORIZON";"PME";"CHE";"DE ROSEY OUEST";"26100";"ROMANS-SUR-ISERE"
"420";"192610889";"19261088900011";"85.31Z";"21";"COLLEGE ALAIN BORNE";"PME";"PL";"DU THEATRE";"26200";"MONTELIMAR"
"421";"192700193";"19270019300019";"85.31Z";"21";"COLLEGE JEAN JAURES";"PME";"RUE";"DE LA JUSTICE";"27000";"EVREUX"
"422";"192715795";"19271579500014";"85.31Z";"22";"LYCEE LEOPOLD SEDAR SENGHOR";"PME";"RUE";"DU CANADA";"27000";"EVREUX"
"423";"192903466";"19290346600014";"85.42Z";"32";"UNIVERSITE BREST BRETAGNE OCCIDENTALE";"ETI";"RUE";"DES ARCHIVES";"29200";"BREST"
"424";"193000015";"19300001500027";"85.31Z";"21";"COLLEGE IRENE JOLIOT CURIE";"PME";"CHE";"DU BOSQUET";"30220";"AIGUES-MORTES"
"425";"193000023";"19300002300013";"85.31Z";"32";"LYCEE POLYVALENT JEAN-BAPTISTE DUMAS";"ETI";"PL";"DE BELGIQUE";"30100";"ALES"
"426";"193000130";"19300013000016";"85.31Z";"12";"COLLEGE LE CASTELLAS";"PME";"RUE";"DU CASTELLAS";"30160";"BESSEGES"
"427";"193000163";"19300016300017";"85.31Z";"11";"COLLEGE DE LA REGORDANE";"PME";"";"PLAN DE L OLI";"30450";"GENOLHAC"
"428";"193000205";"19300020500016";"85.31Z";"11";"COLLEGE ANTOINE DEPARCIEUX";"PME";"RUE";"DES ECOLES";"30960";"LE MARTINET"
"429";"193000213";"19300021300010";"85.31Z";"31";"LYCEE GAL ET TECHNOLOGIQUE A.DAUDET";"PME";"BD";"VICTOR HUGO";"30000";"NIMES"
"430";"193000239";"19300023900015";"85.31Z";"42";"LYCEE GENERAL TECHNOLOGIQUE ALBERT CAMUS";"ETI";"AV";"GEORGES POMPIDOU";"30900";"NIMES"
"431";"193000262";"19300026200017";"85.31Z";"31";"LYCEE GENERAL TECHNO DIT DHUODA";"ETI";"RUE";"DHUODA";"30900";"NIMES"
"432";"193000270";"19300027000010";"85.31Z";"22";"LYCEE POLYVALENT ERNEST HEMINGWAY";"PME";"AV";"JEAN JAURES";"30900";"NIMES"
"433";"193000361";"19300036100017";"85.31Z";"12";"COLLEGE ARMAND COUSSENS";"PME";"PL";"DES ECOLES";"30500";"SAINT-AMBROIX"
"434";"193000395";"19300039500015";"85.31Z";"12";"COLLEGE DE LA GALABERTE";"PME";"BD";"DU TEMPLE";"30170";"SAINT-HIPPOLYTE-DU-FORT"
