"";"siren";"siret";"activitePrincipaleUniteLegale";"trancheEffectifsEtablissement";"denominationUniteLegale";"categorieEntreprise";"typeVoieEtablissement";"libelleVoieEtablissement";"codePostalEtablissement";"libelleCommuneEtablissement"
"1053";"439584970";"43958497000057";"70.22Z";"01";"NUMEVENT";"PME";"RPT";"BENJAMIN FRANKLIN";"34000";"MONTPELLIER"
"1054";"439627886";"43962788600013";"59.14Z";"11";"FILMS DU POTAGER";"PME";"RUE";"ESC SAINTE ANNE";"84000";"AVIGNON"
"1055";"439640046";"43964004600017";"87.10A";"11";"L'OUSTAL DE MIREILLE";"ETI";"RUE";"DES TROENES";"34690";"FABREGUES"
"1056";"439686361";"43968636100049";"43.32A";"NN";"";"PME";"RUE";"JEAN ROGER";"34300";"AGDE"
"1057";"439708710";"43970871000041";"55.10Z";"02";"HOTEL CESAR";"PME";"AV";"FEUCHERES";"30000";"NIMES"
"1058";"439716168";"43971616800026";"88.10A";"11";"";"PME";"AV";"SAINT LAZARE";"34000";"MONTPELLIER"
"1059";"439811738";"43981173800046";"86.90E";"0";"";"PME";"AV";"HECTOR BERLIOZ";"30320";"MARGUERITTES"
"1060";"439816893";"43981689300028";"87.30A";"12";"VAL SOLEIL";"PME";"";"L'ESCAILLON";"13500";"MARTIGUES"
"1061";"439833328";"43983332800057";"46.63Z";"03";"C.I.M.A.";"ETI";"AV";"AMPERE";"30600";"VAUVERT"
"1062";"439834615";"43983461500023";"55.10Z";"11";"HOTEL BEZIERS PALAIS DES CONGRES";"ETI";"AV";"SAINT SAENS";"34500";"BEZIERS"
"1063";"439906934";"43990693400054";"71.12B";"NN";"VOLKSWIND FRANCE";"PME";"RUE";"EMILE LANDRIN";"92100";"BOULOGNE-BILLANCOURT"
"1064";"439906934";"43990693400104";"71.12B";"02";"VOLKSWIND FRANCE";"PME";"RUE";"DE LA CASTELLE";"34070";"MONTPELLIER"
"1065";"439951914";"43995191400019";"90.01Z";"11";"FONDS REGIONAL D ART CONTEMPORAIN OCCITANIE MONTPELLIER";"PME";"RUE";"RAMBAUD";"34000";"MONTPELLIER"
"1066";"439962143";"43996214300012";"88.10B";"11";"ASSO CIEL BLEU ACCUEIL JOUR PERS AGEES";"PME";"RUE";"LAKANAL";"34090";"MONTPELLIER"
"1067";"439975640";"43997564000020";"87.10A";"12";"FONDATION PARTAGE ET VIE";"GE";"";"";"07230";"LABLACHERE"
"1068";"439975640";"43997564000228";"87.10A";"12";"FONDATION PARTAGE ET VIE";"GE";"RES";"LE LUX";"38210";"TULLINS"
"1069";"439975640";"43997564000327";"87.10A";"12";"FONDATION PARTAGE ET VIE";"GE";"CRS";"WASHINGTON";"47000";"AGEN"
"1070";"439975640";"43997564000459";"87.10A";"12";"FONDATION PARTAGE ET VIE";"GE";"RUE";"DES GENETS";"11430";"GRUISSAN"
"1071";"439975640";"43997564000772";"87.10A";"11";"FONDATION PARTAGE ET VIE";"GE";"AV";"DE MONTPELLIER";"34970";"LATTES"
"1072";"439975640";"43997564000780";"87.10A";"03";"FONDATION PARTAGE ET VIE";"GE";"IMP";"DU RIEUCOULON";"34970";"LATTES"
"1073";"439975640";"43997564000830";"87.10A";"21";"FONDATION PARTAGE ET VIE";"GE";"CHE";"DU HAUT BRESIS";"30100";"ALES"
"1074";"439975640";"43997564000954";"87.10A";"12";"FONDATION PARTAGE ET VIE";"GE";"RUE";"AUGUSTE JOYE";"19240";"VARETZ"
"1075";"440056463";"44005646300068";"43.21A";"22";"SPIE SUD-OUEST";"GE";"RUE";"HENRI FARMAN";"34430";"SAINT-JEAN-DE-VEDAS"
"1076";"440073989";"44007398900038";"58.13Z";"NN";"TV AGRI";"PME";"RUE";"JEAN JACQUES ROUSSEAU";"75001";"PARIS 1"
"1077";"440088235";"44008823500039";"47.79Z";"22";"ARTCURIAL S.A.S.";"GE";"RPT";"CHAMPS ELYSEES M. DASSAULT";"75008";"PARIS 8"
"1078";"440095198";"44009519800022";"69.20Z";"12";"AMP CONSEILS MONTPELLIER";"PME";"RUE";"CLAUDE FRANCOIS";"34080";"MONTPELLIER"
"1079";"440102002";"44010200200027";"86.22C";"0";"";"PME";"AV";"IMPERATRICE EUGENIE";"20000";"AJACCIO"
"1080";"440117976";"44011797600850";"68.20B";"0";"SOCIETE D'INVESTISSEMENT FRANCE HOTELS";"GE";"RUE";"DU BOIS BRIARD";"91080";"EVRY-COURCOURONNES"
"1081";"440186021";"44018602100018";"94.99Z";"02";"MAISON RENE CASSIN ACCES AU DROIT ET MEDIATION";"PME";"RUE";"SERGE GOUSSEAUT";"34500";"BEZIERS"
"1082";"440192144";"44019214400010";"59.11A";"03";"AMIS DE LA TELEVISION";"PME";"RUE";"VERNET";"75008";"PARIS 8"
"1083";"440200160";"44020016000016";"94.99Z";"NN";"COMITE OEUVR.SOCIAL.DU PERSONNEL TERRIT.";"";"CHE";"DU MOULIN";"81100";"CASTRES"
"1084";"440252625";"44025262500056";"70.10Z";"12";"APTIV HOLDINGS FRANCE SAS";"ETI";"BD";"PAUL CEZANNE";"78280";"GUYANCOURT"
"1085";"440272250";"44027225000026";"94.11Z";"11";"FREDON LORRAINE";"PME";"DOM";"DE PIXERECOURT";"54220";"MALZEVILLE"
"1086";"440280725";"44028072500068";"74.30Z";"0";"";"PME";"IMP";"DES COQUELICOTS";"14000";"CAEN"
