"";"X.3";"X.2";"X.1";"X";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"wiki";"keywords";"keywords_wiki";"keywords_wiki_dbpedia"
"138";138;138;138;138;26340028500106;"CCAS DE MONTPELLIER";12;202,285714285714;"";"";NA;"";""
"139";139;139;139;139;31303095900032;"CENTRE DE DOCUMENTATION TIERS MONDE MONTPELLIER";12;78,1428571428572;"";"";NA;"";""
"140";140;140;140;140;38831314000013;"CLINIQUE DE LA BORDE";12;103;"";"";NA;"";""
"141";141;141;141;141;41763696600026;"SAS EHPAD LES GLYCINES";12;82,5714285714285;"";"";NA;"";""
"142";142;142;142;142;44335201800016;"GRAIN D'IMAGE, ESPACE LE MUR ROUGE";12;143,285714285714;"";"";NA;"";""
"143";143;143;143;143;51258578700025;"ECOLE INTERNATIONALE ANTONIA";12;24;"";"";NA;"";""
"144";144;144;144;144;53455508100015;"CHRU MONTPELLIER";12;143;"";"";NA;"";""
"145";145;145;145;145;77605702800016;"ECOLE SAINTE ODILE";12;74,1428571428571;"";"";NA;"";""
"146";146;146;146;146;79915748200016;"ALLIANCE FRANCAISE";12;175,571428571429;"";"";NA;"";""
"147";147;147;147;147;17340431000026;"CENTRE D'INFORMATION ET D'ORIENTATION MONTPELLIER CENTRE";11;118,285714285714;"";"";NA;"";""
"148";148;148;148;148;19340011600011;"LYCEE JEAN MOULIN";11;87,7142857142857;"";"";NA;"";""
"149";149;149;149;149;21340090600060;"ECOLE ELEMENTAIRE EMILE BARRES";11;44;"";"";NA;"";""
"150";150;150;150;150;21340113600030;"ECOLE ELEMENTAIRE HAROUN TAZIEFF";11;37,7142857142857;"";"";NA;"";""
"151";151;151;151;151;21340172200912;"ECOLE ELEMENTAIRE MARIE CURIE";11;19,4285714285714;"";"";NA;"";""
"152";152;152;152;152;21340172201134;"ECOLE MATERNELLE PUBLIQUE FRANCIS GARNIER";11;70;"";"";NA;"";""
"153";153;153;153;153;26120014100016;"CENTRE HOSPITALIER";11;173,857142857143;"";"";NA;"";""
"154";154;154;154;154;26340080600026;"EHPAD RESIDENCE AUBETERRE TEYRAN";11;191,428571428571;"";"";NA;"";""
