"";"Numsiret";"Nometablissement";"nb_stages";"nb_heures";"url";"keywords"
"160";49399968400050;"IME DU CHATEAU D'O";11;164,857142857143;"";""
"161";58212223000029;"CAMERON FRANCE";11;244,142857142857;"";""
"162";77591322100013;"INSTITUT EMMANUEL D'ALZON";11;44,7142857142857;"";""
"163";82174120400019;"SILO";11;115;"";""
"164";85097937800013;"ASSOCIATION LUK JUNIOR CONSEIL";11;40;"";""
"165";NA;"DISCOVERY PUBLISHER";11;101,857142857143;"";""
"166";NA;"ECOLE FRANCAISE D'ATHENES";11;48,8571428571429;"";""
"167";13000804800014;"AGENCE REGIONALE DE SANTE OCCITANIE";10;179,428571428572;"";""
"168";19340051200011;"COLLEGE FONTCARRADE";10;70,7142857142857;"";""
"169";19340086800017;"COLLEGE FREDERIC BAZILLE";10;54,7142857142857;"";""
"170";19341363000016;"COLLEGE DE LA VOIE DOMITIENNE";10;49;"";""
"171";21340003900011;"COMMUNE D'AGDE";10;103,571428571429;"";""
"172";21340077300031;"ECOLE ELEMENTAIRE VICTOR HUGO";10;14,7142857142857;"";""
"173";21340172200110;"ECOLE ELEMENTAIRE JEANNE D'ARC";10;23,4285714285714;"";""
"174";21340172200169;"ECOLE ELEMENTAIRE GEORGES SIMENON";10;112,714285714286;"";""
"175";21340172200193;"ECOLE MATERNELLE ROBERT SURCOUF";10;42,4285714285714;"";""
"176";21340172201548;"ECOLE ELEMENTAIRE JOSEPH DELTEIL";10;24,4285714285714;"";""
"177";21340270400018;"MAIRIE DE SAINT JEAN DE VEDAS";10;111,714285714286;"";""
"178";21340337100023;"ECOLE ELEMENTAIRE PIERRE BOUISSINET";10;21,1428571428571;"";""
"179";22110001900019;"CONSEIL DEPARTEMENTAL DE  L'AUDE";10;154,428571428572;"";""
"180";26340015200017;"CENTRE HOSPITALIER DE LUNEL";10;190,857142857143;"";""
"181";26840016500018;"CENTRE HOSPITALIER HENRI DUFFAUT";10;147,285714285714;"";""
"182";31487181500093;"TRANSPORTS AGGLOMERATION DE MONTPELLIER";10;187;"";""
"183";33149615800063;"SUD DE FRANCE DEVELOPPEMENT";10;168,714285714286;"";""
"184";33977442400164;"C.H.R.S REGAIN ADAGES";10;137;"";""
"185";33977442400198;"E.E.A.P COSTE ROUSSE";10;48,9999999999999;"";""
"186";40125156601103;"ORPEA";10;148,428571428571;"";""
